City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
220,saldanha,-33.0117,17.9442,60.85,79,10,6.42,ZA,1682612465
221,luderitz,-26.6481,15.1594,65.34,64,1,13.33,NA,1682612466
222,malegaon,20.55,74.5333,88.05,33,58,7.16,IN,1682612467
223,kish,26.5578,54.0194,75.47,83,0,9.22,IR,1682612469
224,howrah,22.5892,88.3103,75.2,88,75,8.05,IN,1682612374
225,carora,10.1755,-70.0827,89.38,43,2,0.6,VE,1682612471
226,klaksvik,62.2266,-6.589,41.92,76,99,17.07,FO,1682612472
227,new norfolk,-42.7826,147.0587,56.7,68,58,1.54,AU,1682612474
228,bengkulu,-3.8004,102.2655,77.86,90,100,3.33,ID,1682612475
229,cacheu,12.2706,-16.1658,95.09,14,84,2.77,GW,1682612476
230,aasiaat,68.7098,-52.8699,30.25,87,96,8.14,GL,1682612477
231,illizi,26.4833,8.4667,98.4,9,13,13.82,DZ,1682612479
232,hawaiian paradise park,19.5933,-154.9731,71.04,89,75,3.44,US,1682612376
233,hammerfest,70.6634,23.6821,46.85,61,0,8.05,NO,1682612481
234,santa catarina juquila,16.2333,-97.3,68.7,23,31,4.74,MX,1682612483
235,sisimiut,66.9395,-53.6735,34.2,83,20,6.76,GL,1682612484
236,codrington,-38.2667,141.9667,59.77,84,14,12.8,AU,1682612485
237,media luna,20.1419,-77.435,83.84,61,41,2.21,CU,1682612487
238,yeppoon,-23.1333,150.7333,65.98,85,47,14.52,AU,1682612488
239,katsuren-haebaru,26.3369,127.8719,71.62,73,100,3.44,JP,1682612490
240,manta,-0.95,-80.7333,87.58,66,40,5.75,EC,1682612492
241,frydlant,50.9214,15.0797,53.28,45,95,5.01,CZ,1682612493
242,silver city,32.7701,-108.2803,65.62,22,0,3.0,US,1682612398
243,shushtar,32.0455,48.8567,89.53,12,1,5.57,IR,1682612495
244,sosnovo-ozerskoye,52.5249,111.5418,34.9,84,100,7.25,RU,1682612497
245,praya,14.9215,-23.5087,82.94,51,0,9.22,CV,1682612443
246,salekhard,66.53,66.6019,25.5,95,100,12.28,RU,1682612499
247,makungu,-8.7333,35.2833,62.01,93,100,3.83,TZ,1682612500
248,zaozersk,69.4005,32.4476,34.36,92,62,13.27,RU,1682612502
249,coahuayana de hidalgo,18.7,-103.6583,84.74,37,97,4.47,MX,1682612503
250,nizhnyaya salda,58.0776,60.7202,54.61,74,35,7.72,RU,1682612504
251,myanaung,18.2833,95.3167,87.08,44,0,4.14,MM,1682612505
252,cabo san lucas,22.8909,-109.9124,80.62,75,0,5.75,MX,1682612380
253,ebon,4.582,168.6964,83.44,76,100,14.18,MH,1682612508
254,zhanibek,49.4167,46.85,65.32,44,4,6.91,KZ,1682612509
255,pangody,65.85,74.4859,17.1,94,45,9.64,RU,1682612510
256,jacmel,18.2342,-72.5347,87.64,71,85,6.53,HT,1682612512
257,port alfred,-33.5906,26.891,68.18,84,6,3.0,ZA,1682612514
258,cururupu,-1.8283,-44.8683,85.59,63,95,3.53,BR,1682612516
259,mahanje,-9.9333,35.3333,66.83,76,92,1.66,TZ,1682612517
260,bel ombre,-4.6167,55.4167,84.04,79,40,8.05,SC,1682612518
261,namtsy,62.7161,129.6658,21.97,100,94,1.66,RU,1682612520
262,eirunepe,-6.6603,-69.8736,89.74,53,53,3.78,BR,1682612521
263,guerrero negro,27.9769,-114.0611,63.99,73,19,7.49,MX,1682612523
264,sines,37.9562,-8.8698,77.29,50,98,9.4,PT,1682612525
265,sundsvall,62.3913,17.3063,37.36,87,100,6.91,SE,1682612526
266,punta arenas,-53.15,-70.9167,46.42,61,63,21.21,CL,1682612527
267,awjilah,29.1081,21.2869,81.93,25,0,22.62,LY,1682612529
268,hithadhoo,-0.6,73.0833,84.74,73,100,9.42,MV,1682612530
269,joplin,37.0842,-94.5133,56.82,92,100,5.75,US,1682612532
270,labrador city,52.9463,-66.9114,44.51,76,100,4.61,CA,1682612533
271,esmeraldas,-19.7625,-44.3139,82.71,49,27,7.11,BR,1682612534
272,chiredzi,-21.05,31.6667,75.34,50,0,6.49,ZW,1682612536
273,mount isa,-20.7333,139.5,60.57,77,85,0.0,AU,1682612538
274,sept-iles,50.2001,-66.3821,40.05,92,100,5.75,CA,1682612539
275,ordynskoye,54.3656,81.8994,58.55,50,100,10.22,RU,1682612488
276,prince rupert,54.3161,-130.3201,44.69,75,100,18.41,CA,1682612385
277,saint augustine beach,29.8505,-81.2654,84.15,73,0,14.97,US,1682612543
278,kapuskasing,49.4169,-82.4331,41.09,65,100,8.05,CA,1682612544
279,yreka,41.7354,-122.6345,67.48,50,0,0.0,US,1682612545
280,narvik,68.4384,17.4272,43.81,83,98,6.8,NO,1682612548
281,isafjordur,66.0755,-23.124,33.84,51,75,14.97,IS,1682612549
